Type,Payload
sql,SELECT * FROM users WHERE id=133
xss,<script>alert(1)</script>
cmdinj,&& whoami
traversal,../etc/passwd
normal,user request id=510
normal,search product 70
sql,SELECT * FROM users WHERE id=12
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=358
normal,search product 88
sql,' OR 1=1--98
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=3
normal,search product 81
sql,SELECT * FROM users WHERE id=133
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=780
normal,search product 35
sql,"UNION SELECT username,password FROM users82"
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=541
normal,search product 17
sql,' OR 1=1--5
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=551
normal,search product 98
sql,SELECT * FROM users WHERE id=177
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=188
normal,search product 23
sql,SELECT * FROM users WHERE id=143
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=561
normal,search product 27
sql,"UNION SELECT username,password FROM users2"
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=874
normal,search product 54
sql,SELECT * FROM users WHERE id=173
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=851
normal,search product 19
sql,SELECT * FROM users WHERE id=183
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=101
normal,search product 56
sql,SELECT * FROM users WHERE id=193
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../etc/passwd
normal,user request id=603
normal,search product 24
sql,SELECT * FROM users WHERE id=187
xss,<script>alert(1)</script>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=298
normal,search product 35
sql,SELECT * FROM users WHERE id=145
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=603
normal,search product 60
sql,' OR 1=1--92
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=866
normal,search product 29
sql,"UNION SELECT username,password FROM users97"
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=55
normal,search product 80
sql,"UNION SELECT username,password FROM users60"
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=522
normal,search product 64
sql,' OR 1=1--24
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=606
normal,search product 24
sql,' OR 1=1--77
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../etc/passwd
normal,user request id=428
normal,search product 48
sql,' OR 1=1--76
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=209
normal,search product 31
sql,' OR 1=1--2
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=381
normal,search product 34
sql,"UNION SELECT username,password FROM users33"
xss,<script>alert(1)</script>
cmdinj,&& whoami
traversal,../etc/passwd
normal,user request id=888
normal,search product 58
sql,SELECT * FROM users WHERE id=193
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=736
normal,search product 27
sql,' OR 1=1--13
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=107
normal,search product 2
sql,"UNION SELECT username,password FROM users5"
xss,<script>alert(1)</script>
cmdinj,&& whoami
traversal,../etc/passwd
normal,user request id=659
normal,search product 58
sql,"UNION SELECT username,password FROM users61"
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../etc/passwd
normal,user request id=347
normal,search product 40
sql,"UNION SELECT username,password FROM users23"
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=683
normal,search product 14
sql,SELECT * FROM users WHERE id=146
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=952
normal,search product 72
sql,' OR 1=1--66
xss,<script>alert(1)</script>
cmdinj,&& whoami
traversal,../etc/passwd
normal,user request id=307
normal,search product 33
sql,SELECT * FROM users WHERE id=170
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=33
normal,search product 46
sql,SELECT * FROM users WHERE id=172
xss,<script>alert(1)</script>
cmdinj,&& whoami
traversal,../etc/passwd
normal,user request id=51
normal,search product 91
sql,SELECT * FROM users WHERE id=187
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=5
normal,search product 74
sql,SELECT * FROM users WHERE id=124
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=129
normal,search product 74
sql,"UNION SELECT username,password FROM users80"
xss,<script>alert(1)</script>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=865
normal,search product 13
sql,"UNION SELECT username,password FROM users69"
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=949
normal,search product 61
sql,SELECT * FROM users WHERE id=174
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=401
normal,search product 26
sql,"UNION SELECT username,password FROM users17"
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=384
normal,search product 42
sql,"UNION SELECT username,password FROM users21"
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=170
normal,search product 55
sql,"UNION SELECT username,password FROM users30"
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=777
normal,search product 85
sql,' OR 1=1--83
xss,<script>alert(1)</script>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=329
normal,search product 22
sql,"UNION SELECT username,password FROM users10"
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=245
normal,search product 51
sql,"UNION SELECT username,password FROM users37"
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=992
normal,search product 50
sql,"UNION SELECT username,password FROM users4"
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=228
normal,search product 95
sql,' OR 1=1--36
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=357
normal,search product 23
sql,' OR 1=1--6
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=940
normal,search product 82
sql,"UNION SELECT username,password FROM users15"
xss,<script>alert(1)</script>
cmdinj,&& whoami
traversal,../etc/passwd
normal,user request id=746
normal,search product 34
sql,"UNION SELECT username,password FROM users70"
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=677
normal,search product 71
sql,SELECT * FROM users WHERE id=175
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=290
normal,search product 93
sql,"UNION SELECT username,password FROM users80"
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=997
normal,search product 38
sql,SELECT * FROM users WHERE id=172
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=134
normal,search product 22
sql,"UNION SELECT username,password FROM users27"
xss,<script>alert(1)</script>
cmdinj,&& whoami
traversal,../etc/passwd
normal,user request id=624
normal,search product 67
sql,"UNION SELECT username,password FROM users20"
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=39
normal,search product 61
sql,SELECT * FROM users WHERE id=139
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=825
normal,search product 65
sql,SELECT * FROM users WHERE id=151
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=972
normal,search product 9
sql,"UNION SELECT username,password FROM users72"
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=18
normal,search product 79
sql,SELECT * FROM users WHERE id=142
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=603
normal,search product 20
sql,"UNION SELECT username,password FROM users85"
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../etc/passwd
normal,user request id=741
normal,search product 44
sql,' OR 1=1--28
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=615
normal,search product 35
sql,' OR 1=1--63
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=24
normal,search product 89
sql,"UNION SELECT username,password FROM users39"
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../etc/passwd
normal,user request id=583
normal,search product 17
sql,' OR 1=1--88
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=723
normal,search product 31
sql,' OR 1=1--56
xss,<script>alert(1)</script>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=899
normal,search product 20
sql,"UNION SELECT username,password FROM users80"
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../etc/passwd
normal,user request id=988
normal,search product 10
sql,SELECT * FROM users WHERE id=19
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=155
normal,search product 85
sql,SELECT * FROM users WHERE id=128
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=441
normal,search product 94
sql,"UNION SELECT username,password FROM users83"
xss,<img src=x onerror=alert(1)>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=687
normal,search product 32
sql,SELECT * FROM users WHERE id=115
xss,<script>alert(1)</script>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=93
normal,search product 79
sql,SELECT * FROM users WHERE id=128
xss,<script>alert(1)</script>
cmdinj,&& whoami
traversal,../etc/passwd
normal,user request id=25
normal,search product 43
sql,' OR 1=1--33
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../etc/passwd
normal,user request id=193
normal,search product 62
sql,SELECT * FROM users WHERE id=129
xss,<img src=x onerror=alert(1)>
cmdinj,; ls
traversal,../../etc/passwd
normal,user request id=667
normal,search product 71
sql,SELECT * FROM users WHERE id=180
xss,<script>alert(1)</script>
cmdinj,&& whoami
traversal,../../etc/passwd
normal,user request id=977
normal,search product 71
